GENE,PHENOTYPES,RANK,SCORE
ACOX1,"HP:0012747,HP:0007256,HP:0001251,HP:0003551,HP:0001260,HP:0000316,HP:0002463,HP:0002505,HP:0011145,HP:0002381",2,-55.32424545288086
ACOX1,"HP:0006958,HP:0000504,HP:0000649,HP:0007256,HP:0011448,HP:0002069,HP:0000028,HP:0004673,HP:0002353,HP:0011210,HP:0012706,HP:0006813,HP:0002197,HP:0001290,HP:0009028,HP:0001263,HP:0000365,HP:0007286,HP:0030890,HP:0001347,HP:0002451,HP:0000252,HP:0010544,HP:0008167,HP:0001612",1,-87.69754028320312
ACOX1,"HP:0002910,HP:0007359,HP:0001290,HP:0001263,HP:0000365,HP:0002126",1,-30.029438018798828
ACOX1,"HP:0002500,HP:0007703,HP:0001508,HP:0001290,HP:0000365,HP:0002240,HP:0001270,HP:0000938,HP:0000546,HP:0001250,HP:0000505",1,-37.80115509033203
ACOX1,"HP:0030933,HP:0030926,HP:0002500,HP:0001344,HP:0002104,HP:0002069,HP:0012444,HP:0006543,HP:0002120,HP:0002015,HP:0002910,HP:0002197,HP:0001290,HP:0001263,HP:0002079,HP:0003154,HP:0010864,HP:0001336,HP:0000648,HP:0002783,HP:0002878,HP:0000407,HP:0002510",1,-74.60957336425781
ACOX1,"HP:0002500,HP:0007703,HP:0001508,HP:0001290,HP:0000365,HP:0002240,HP:0001270,HP:0000938,HP:0000546,HP:0001250,HP:0000505",1,-37.801151275634766
ACOX1,"HP:0003487,HP:0002015,HP:0001290,HP:0000666,HP:0002878,HP:0000546,HP:0008167",1,-35.850067138671875
ACOX1,"HP:0002500,HP:0007703,HP:0001508,HP:0001290,HP:0000365,HP:0002240,HP:0001270,HP:0000938,HP:0000546,HP:0001250,HP:0000505",1,-37.801151275634766
ACOX1,"HP:0007695,HP:0007256,HP:0002795,HP:0002104,HP:0007321,HP:0001332,HP:0002353,HP:0011198,HP:0002910,HP:0011167,HP:0000365,HP:0002240,HP:0000666,HP:0003124,HP:0002463,HP:0000648,HP:0002344,HP:0011344,HP:0006829,HP:0010307,HP:0031358,HP:0008167",1,-84.54703521728516
ACOX1,"HP:0002500,HP:0007703,HP:0001508,HP:0001290,HP:0000365,HP:0002240,HP:0001270,HP:0000938,HP:0000546,HP:0001250,HP:0000505",1,-37.801151275634766
ACSF3,"HP:0001944,HP:0002329,HP:0000969,HP:0001269,HP:0002013",3,-30.151874542236328
ACSF3,HP:0002725,37,-11.32496166229248
ACSF3,"HP:0002384,HP:0002354,HP:0002912",1,-22.039470672607422
ACSF3,HP:0012120,4,-9.641284942626953
ACSF3,"HP:0000126,HP:0005562",73,-15.057709693908691
ACSF3,"HP:0001941,HP:0001508,HP:0001943,HP:0002254,HP:0002912",1,-23.52095603942871
ACSF3,"HP:0011950,HP:0004325,HP:0012115,HP:0003128,HP:0001642,HP:0004322",2,-32.144126892089844
ACSF3,HP:0012120,4,-9.641284942626953
ACSF3,"HP:0030127,HP:0000010,HP:0001025",1,-28.228269577026367
ACSF3,"HP:0002354,HP:0002912,HP:0000020",1,-23.37877082824707
ACSF3,HP:0007018,386,-9.282687187194824
ACSF3,HP:0012120,4,-9.641284942626953
ACSF3,"HP:0000518,HP:0010862,HP:0000750,HP:0000964,HP:0002572,HP:0000501,HP:0002650",1,-38.642417907714844
ACSF3,"HP:0002354,HP:0002912,HP:0002077",1,-24.76581382751465
ACSF3,"HP:0002240,HP:0001984,HP:0000076",1,-24.565876007080078
ACSF3,HP:0000639,1071,-6.1903462409973145
ACSF3,"HP:0000708,HP:0002912",1,-14.196468353271484
ACSF3,"HP:0000717,HP:0001263,HP:0001382,HP:0012120,HP:0001337",1,-28.732303619384766
ACSF3,HP:0012120,4,-9.641284942626953
ACSF3,HP:0012120,4,-9.641284942626953
ACSF3,"HP:0003193,HP:0000964,HP:0012120,HP:0004322",1,-27.11665916442871
ACSF3,HP:0012120,4,-9.641284942626953
ACSF3,"HP:0025085,HP:0100502,HP:0001944,HP:0011106,HP:0001942",1,-34.412513732910156
ACSF3,HP:0012120,4,-9.641284942626953
ACSF3,"HP:0001298,HP:0005974,HP:0002912,HP:0001250",1,-28.879066467285156
ACSF3,"HP:0008936,HP:0000750,HP:0001332,HP:0001263,HP:0002912,HP:0000252",1,-27.819671630859375
ACSL4,"HP:0100037,HP:0001344,HP:0000717,HP:0002194,HP:0000750,HP:0001263",7,-29.08203125
ACSL4,"HP:0000252,HP:0001263",114,-7.434699058532715
ACSL4,HP:0010864,45,-6.933813571929932
ACSL4,HP:0000717,42,-7.018829345703125
ACSL4,HP:0001249,119,-3.372549295425415
ACSL4,HP:0001249,119,-3.372549295425415
ACSL4,"HP:0011003,HP:0002342,HP:0002650,HP:0012157",1,-28.155576705932617
ACSL4,"HP:0008947,HP:0002342,HP:0002463,HP:0001315",1,-19.07911491394043
ACTA1,"HP:0002375,HP:0001252,HP:0009025,HP:0009051,HP:0003557,HP:0034392,HP:0100295,HP:0003798,HP:0002643,HP:0033454",1,-43.778533935546875
ACTA1,"HP:0001460,HP:0002015,HP:0011968,HP:0011471,HP:0001252,HP:0003690,HP:0001270,HP:0003798,HP:0002421,HP:0030319",1,-35.97034454345703
ACTA1,"HP:0002015,HP:0011968,HP:0011471,HP:0001252,HP:0001270,HP:0002421,HP:0002093,HP:0030319",2,-30.169023513793945
ACTA1,HP:0003798,4,-10.29050350189209
ACTA1,"HP:0001558,HP:0001260,HP:0002015,HP:0011471,HP:0001265,HP:0001252,HP:0002751,HP:0001270,HP:0002058,HP:0003798,HP:0002643,HP:0000767,HP:0011807",1,-57.399845123291016
ACTA1,"HP:0001662,HP:0002803,HP:0002015,HP:0011968,HP:0001252,HP:0003690,HP:0001270,HP:0002421,HP:0002093,HP:0030319",2,-35.86862564086914
